과,국명,학명,천연기념물,멸종위기야생생물,해양보호생물,
,초원수리,Aquila nipalensis,
,흰죽지수리,Aquila heliaca,,II,
,검독수리,Aquila chrysaetos,천,I,
,흰배줄무늬수리,Aquila fasciata,
,붉은배새매,Accipiter soloensis,천,II,
,조롱이,Accipiter gularis,,II,
,작은새매,Accipiter virgatus,
,새매,Accipiter nisus,천,II,
,참매,Accipiter gentilis,천,II,
,참매,Accipiter gentilis schvedowi,천,II,
,흰참매,Accipiter gentilis albidus,천,II,
,개구리매,Circus spilonotus,천,
,잿빛개구리매,Circus cyaneus,천,II,
,알락개구리매,Circus melanoleucos,천,II,
,솔개,Milvus migrans,,II,
,흰꼬리수리,Haliaeetus albicilla,천,I,
,참수리,Haliaeetus pelagicus,천,I,
,왕새매,Butastur indicus,
,털발말똥가리,Buteo lagopus,
,큰말똥가리,Buteo hemilasius,,II,
,말똥가리,Buteo japonicus,
가면올빼미과,가면올빼미,Tyto longimembris,
올빼미과,큰소쩍새,Otus semitorques,천,
,소쩍새,Otus sunia,천,
,흰올빼미,Bubo scandiacus,
,수리부엉이,Bubo bubo,천,II,
,올빼미,Strix nivicolum,천,II,
,긴점박이올빼미,Strix uralensis,,II,
,긴꼬리올빼미,Surnia ulula,
,금눈쇠올빼미,Athene noctua,
,솔부엉이,Ninox japonica,천,
,칡부엉이,Asio otus,천,
,쇠부엉이,Asio flammeus,천,
후투티과,후투티,Upupa epops,
파랑새과,파랑새,Eurystomus orientalis,
물총새과,호반새,Halcyon coromanda,
,청호반새,Halcyon pileata,,II,
,물총새,Alcedo atthis,
,뿔호반새,Megaceryle lugubris,
딱다구리과,개미잡이,Jynx torquilla,
,아물쇠딱다구리,Yungipicus canicapillus,
,쇠딱다구리,Yungipicus kizuki,
,세가락딱다구리,Picoides tridactylus,
,쇠오색딱다구리,Dryobates minor,
,붉은배오색딱다구리,Dendrocopos hyperythrus,
,오색딱다구리,Dendrocopos major,
,큰오색딱다구리,Dendrocopos leucotos,
,크낙새,Dryocopus javensis,천,I,
,까막딱다구리,Dryocopus martius,천,II,
,청딱다구리,Picus canus,
매과,황조롱이,Falco tinnunculus,천,
,비둘기조롱이,Falco amurensis,
,쇠황조롱이,Falco columbarius,
,새호리기,Falco subbuteo,,II,
,헨다손매,Falco cherrug,
,흰매,Falco rusticolus,
,매,Falco peregrinus,천,II,
팔색조과,팔색조,Pitta nympha,천,II,
,푸른날개팔색조,Pitta moluccensis,
숲제비과,회색숲제비,Artamus fuscus,
할미새사촌과,할미새사촌,Pericrocotus divaricatus,
,검은가슴할미새사촌,Pericrocotus tegimae,
,검은할미새사촌,Lalage melaschistos,
때까치과,칡때까치,Lanius tigrinus,
,때까치,Lanius bucephalus,
,노랑때까치,Lanius cristatus,
,노랑때까치,Lanius cristatus lucionensis,
,홍때까치,Lanius cristatus cristatus,
,넓은이마홍때까치,Lanius cristatus confusus,
,붉은등때까치,Lanius collurio,
,긴꼬리때까치,Lanius schach,
,재때까치,Lanius borealis,
,물때까치,Lanius sphenocercus,
꾀꼬리과,꾀꼬리,Oriolus chinensis,
바람까마귀과,바람까마귀,Dicrurus hottentottus,
,회색바람까마귀,Dicrurus leucophaeus,
,검은바람까마귀,Dicrurus macrocercus,
긴꼬리딱새과,북방긴꼬리딱새,Terpsiphone incei,
,긴꼬리딱새,Terpsiphone atrocaudata,,II,
까마귀과,어치,Garrulus glandarius,
,물까치,Cyanopica cyanus,
,까치,Pica serica,
,잣까마귀,Nucifraga caryocatactes,
,붉은부리까마귀,Pyrrhocorax pyrrhocorax,
,갈까마귀,Coloeus dauuricus,
,집까마귀,Corvus splendens,
,떼까마귀,Corvus frugilegus,
,까마귀,Corvus corone,
,큰부리까마귀,Corvus macrorhynchos,
,큰까마귀,Corvus corax,
여새과,황여새,Bombycilla garrulus,
,홍여새,Bombycilla japonica,
요정딱새과,회색머리노랑딱새,Culicicapa ceylonensis,
박새과,진박새,Periparus ater,
,노랑배진박새,Pardaliparus venustulus,
,곤줄박이,Sittiparus varius,
,쇠박새,Poecile palustris,
,북방쇠박새,Poecile montanus,
,노랑배박새,Parus major,
,노랑배박새,Parus major kapustini,
,박새,Parus minor,
스윈호오목눈이과,스윈호오목눈이,Remiz consobrinus,
수염오목눈이과,수염오목눈이,Panurus biarmicus,
종다리과,남방종다리,Alauda gulgula,
,종다리,Alauda arvensis,
,뿔종다리,Galerida cristata,,II,
,해변종다리,Eremophila alpestris,
,쇠종다리,Calandrella dukhunensis,
,북방쇠종다리,Alaudala cheleensis,
,흰날개종다리,Melanocorypha mongolica,
직박구리과,직박구리,Hypsipetes amaurotis,
,흰머리검은직박구리,Hypsipetes leucocephalus,
,검은이마직박구리,Pycnonotus sinensis,
제비과,갈색제비,Riparia riparia,
,제비,Hirundo rustica,
,바위산제비,Ptyonoprogne rupestris,
,흰턱제비,Delichon lagopodum,
,흰털발제비,Delichon dasypus,
,귀제비,Cecropis daurica,
휘파람새과,휘파람새,Horornis canturians,
,섬휘파람새,Horornis diphone,
,숲새,Urosphena squameiceps,
오목눈이과,오목눈이,Aegithalos caudatus,
,오목눈이,Aegithalos caudatus magnus,
,흰머리오목눈이,Aegithalos caudatus caudatus,
솔새과,연노랑눈썹솔새,Phylloscopus humei,
,노랑눈썹솔새,Phylloscopus inornatus,
,노랑허리솔새,Phylloscopus proregulus,
,쇠긴다리솔새사촌,Phylloscopus armandii,
,긴다리솔새사촌,Phylloscopus schwarzi,
,노랑배솔새사촌,Phylloscopus affinis,
,솔새사촌,Phylloscopus fuscatus,
,연노랑솔새,Phylloscopus trochilus,
,검은다리솔새,Phylloscopus collybita,
,산솔새,Phylloscopus coronatus,
,버들솔새,Phylloscopus plumbeitarsus,
,사할린되솔새,Phylloscopus borealoides,
,되솔새,Phylloscopus tenellipes,
,솔새,Phylloscopus xanthodryas,
,큰솔새,Phylloscopus examinandus,
,쇠솔새,Phylloscopus borealis,
,노랑배솔새,Phylloscopus ricketti,
,히말라야산솔새,Phylloscopus claudiae,
개개비과,개개비,Acrocephalus orientalis,
,쇠개개비,Acrocephalus bistrigiceps,
,풀쇠개개비,Acrocephalus schoenobaenus,
,우수리개개비,Acrocephalus tangorum,
,북방쇠개개비,Acrocephalus agricola,
,덤불개개비,Acrocephalus dumetorum,
,큰부리개개비,Arundinax aedon,
,쇠덤불개개비,Iduna caligata,
섬개개비과,붉은허리개개비,Helopsaltes fasciolatus,
,큰개개비,Helopsaltes pryeri,
,북방개개비,Helopsaltes certhiola,
,알락꼬리쥐발귀,Helopsaltes ochotensis,
,섬개개비,Helopsaltes pleskei,,II,
,쥐발귀개개비,Locustella lanceolata,
,점무늬가슴쥐발귀,Locustella davidi,
개개비사촌과,개개비사촌,Cisticola juncidis,
흰턱딱새과,비늘무늬덤불개개비,Curruca nisoria,
,쇠흰턱딱새,Curruca curruca,
붉은머리오목눈이과,꼬리치레,Rhopophilus pekinensis,
,붉은머리오목눈이,Sinosuthora webbiana,
동박새과,한국동박새,Zosterops erythropleurus,
,작은동박새,Zosterops simplex,
,동박새,Zosterops japonicus,
상모솔새과,상모솔새,Regulus regulus,
굴뚝새과,굴뚝새,Troglodytes troglodytes,
동고비과,쇠동고비,Sitta villosa,
,동고비,Sitta europaea,
나무발발이과,나무발발이,Certhia familiaris,
찌르레기과,검은뿔찌르레기,Acridotheres cristatellus,
,검은머리갈색찌르레기,Acridotheres tristis,
,붉은부리찌르레기,Spodiopsar sericeus,
,찌르레기,Spodiopsar cineraceus,
,북방쇠찌르레기,Agropsar sturninus,
,쇠찌르레기,Agropsar philippensis,
,잿빛쇠찌르레기,Sturnia sinensis,
,분홍찌르레기,Pastor roseus,
,흰점찌르레기,Sturnus vulgaris,
지빠귀과,귤빛지빠귀,Geokichla citrina,
,흰눈썹지빠귀,Geokichla sibirica,
,호랑지빠귀,Zoothera aurea,
,되지빠귀,Turdus hortulorum,
,검은지빠귀,Turdus cardis,
,대륙검은지빠귀,Turdus mandarinus,
,갈색지빠귀,Turdus feae,
,흰눈썹붉은배지빠귀,Turdus obscurus,
,흰배지빠귀,Turdus pallidus,
,붉은배지빠귀,Turdus chrysolaus,
,검은목지빠귀,Turdus atrogularis,
,붉은목지빠귀,Turdus ruficollis,
,노랑지빠귀,Turdus naumanni,
,개똥지빠귀,Turdus eunomus,
,회색머리지빠귀,Turdus pilaris,
,붉은날개지빠귀,Turdus iliacus,
,큰점지빠귀,Turdus mupinensis,
솔딱새과,제비딱새,Muscicapa griseisticta,
,솔딱새,Muscicapa sibirica,
,쇠솔딱새,Muscicapa dauurica,
,갈색솔딱새,Muscicapa muttui,
,회색머리딱새,Muscicapa ferruginea,
,붉은가슴딱새,Niltava davidi,
,큰유리새,Cyanoptila cyanomelana,
,대륙큰유리새,Cyanoptila cumatilis,
,파랑딱새,Eumyias thalassinus,
,꼬까울새,Erithacus rubecula,
,쇠유리새,Larvivora cyane,
,울새,Larvivora sibilans,
,붉은가슴울새,Larvivora akahige,
,흰눈썹울새,Luscinia svecica,
,진홍가슴,Calliope calliope,
,유리딱새,Tarsiger cyanurus,
,흰눈썹황금새,Ficedula zanthopygia,
,북방황금새,Ficedula elisae,
,황금새,Ficedula narcissina,
,황금새,Ficedula narcissina narcissina,
,남방황금새,Ficedula narcissina owstoni,
,노랑딱새,Ficedula mugimaki,
,흰꼬리딱새,Ficedula albicilla,
,붉은가슴흰꼬리딱새,Ficedula parva,
,검은머리딱새,Phoenicurus ochruros,
,흰목딱새,Phoenicurus schisticeps,
,딱새,Phoenicurus auroreus,
,부채꼬리바위딱새,Phoenicurus fuliginosus,
,흰머리바위딱새,Phoenicurus leucocephalus,
,바다직박구리,Monticola solitarius,
,바다직박구리,Monticola solitarius philippensis,
,푸른바다직박구리,Monticola solitarius pandoo,
,꼬까직박구리,Monticola gularis,
,검은딱새,Saxicola stejnegeri,
,검은뺨딱새,Saxicola ferreus,
,사막딱새,Oenanthe oenanthe,
,긴다리사막딱새,Oenanthe isabellina,
,검은꼬리사막딱새,Oenanthe deserti,
,검은등사막딱새,Oenanthe pleschanka,
물까마귀과,물까마귀,Cinclus pallasii,
참새과,집참새,Passer domesticus,
,섬참새,Passer cinnamomeus,
,참새,Passer montanus,
납부리새과,얼룩무늬납부리새,Lonchura punctulata,
바위종다리과,바위종다리,Prunella collaris,
,멧종다리,Prunella montanella,
,쇠바위종다리,Prunella rubida,
할미새과,물레새,Dendronanthus indicus,
,긴발톱할미새,Motacilla tschutschensis,
,긴발톱할미새,Motacilla tschutschensis taivana,
,흰눈썹북방긴발톱할미새,Motacilla tschutschensis plexa,
,흰눈썹긴발톱할미새,Motacilla tschutschensis tschutschensis,
,북방긴발톱할미새,Motacilla tschutschensis macronyx,
,노랑머리할미새,Motacilla citreola,
,노랑할미새,Motacilla cinerea,
,알락할미새,Motacilla alba,
,알락할미새,Motacilla alba leucopsis,
,흰이마알락할미새,Motacilla alba personata,
,시베리아알락할미새,Motacilla alba baicalensis,
,검은턱할미새,Motacilla alba ocularis,
,백할미새,Motacilla alba lugens,
,검은등흰이마할미새,Motacilla alba alboides,
,검은등할미새,Motacilla grandis,
